               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  40,            0.041827,            0.026179,            0.005965,                   0,                   0,                   0,                   0,                   0,          1.5855e-05,                   0,           0.0092278,           0.0092278,           0.0092278
                  41,            0.041135,            0.026793,           0.0064009,                   0,                   0,                   0,                   0,                   0,          3.7074e-05,                   0,            0.009208,            0.009208,            0.009208
                  42,            0.041303,            0.025505,           0.0063576,                   0,                   0,                   0,                   0,                   0,          1.4544e-05,                   0,           0.0091882,           0.0091882,           0.0091882
                  43,            0.041011,            0.025429,           0.0067453,                   0,                   0,                   0,                   0,                   0,          1.1981e-05,                   0,           0.0091684,           0.0091684,           0.0091684
                  44,            0.040613,            0.026331,           0.0062594,                   0,                   0,                   0,                   0,                   0,          8.2731e-05,                   0,           0.0091486,           0.0091486,           0.0091486
                  45,            0.041418,            0.025304,             0.00617,                   0,                   0,                   0,                   0,                   0,          4.2796e-05,                   0,           0.0091288,           0.0091288,           0.0091288
                  46,            0.041126,            0.024991,           0.0064046,                   0,                   0,                   0,                   0,                   0,          2.2948e-05,                   0,            0.009109,            0.009109,            0.009109
                  47,            0.038579,            0.025032,           0.0062093,                   0,                   0,                   0,                   0,                   0,           6.175e-05,                   0,           0.0090892,           0.0090892,           0.0090892
                  48,            0.039234,            0.025165,           0.0053303,                   0,                   0,                   0,                   0,                   0,          2.5451e-05,                   0,           0.0090694,           0.0090694,           0.0090694
                  49,            0.040526,            0.025311,           0.0058053,                   0,                   0,                   0,                   0,                   0,          5.4896e-05,                   0,           0.0090496,           0.0090496,           0.0090496
                  50,            0.039869,             0.02424,           0.0056099,                   0,                   0,                   0,                   0,                   0,          0.00030774,                   0,           0.0090298,           0.0090298,           0.0090298
                  51,            0.040025,            0.024813,            0.006041,                   0,                   0,                   0,                   0,                   0,           2.104e-05,                   0,             0.00901,             0.00901,             0.00901
                  52,            0.039206,            0.024347,           0.0055309,                   0,                   0,                   0,                   0,                   0,          0.00063545,                   0,           0.0089902,           0.0089902,           0.0089902
                  53,            0.039721,            0.023483,           0.0055804,                   0,                   0,                   0,                   0,                   0,          0.00020111,                   0,           0.0089704,           0.0089704,           0.0089704
                  54,            0.039336,            0.025632,           0.0053418,                   0,                   0,                   0,                   0,                   0,          0.00032288,                   0,           0.0089506,           0.0089506,           0.0089506
                  55,            0.040009,            0.024362,           0.0057931,                   0,                   0,                   0,                   0,                   0,           4.673e-05,                   0,           0.0089308,           0.0089308,           0.0089308
                  56,            0.038994,            0.023725,           0.0057438,                   0,                   0,                   0,                   0,                   0,           2.265e-06,                   0,            0.008911,            0.008911,            0.008911
                  57,            0.037527,            0.025267,           0.0057308,                   0,                   0,                   0,                   0,                   0,          7.2956e-05,                   0,           0.0088912,           0.0088912,           0.0088912
                  58,            0.038707,            0.024489,           0.0054223,                   0,                   0,                   0,                   0,                   0,           7.689e-05,                   0,           0.0088714,           0.0088714,           0.0088714
                  59,            0.037998,             0.02439,             0.00532,                   0,                   0,                   0,                   0,                   0,          0.00020379,                   0,           0.0088516,           0.0088516,           0.0088516
                  60,            0.037908,            0.023994,           0.0052469,                   0,                   0,                   0,                   0,                   0,          4.9472e-05,                   0,           0.0088318,           0.0088318,           0.0088318
                  61,            0.038557,            0.024528,           0.0054663,                   0,                   0,                   0,                   0,                   0,          2.2054e-06,                   0,            0.008812,            0.008812,            0.008812
                  62,            0.037639,            0.024792,           0.0050652,                   0,                   0,                   0,                   0,                   0,          3.3259e-05,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,            0.037219,            0.023765,           0.0049224,                   0,                   0,                   0,                   0,                   0,          2.0921e-05,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,            0.036571,            0.023585,           0.0048762,                   0,                   0,                   0,                   0,                   0,          0.00056678,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,             0.03835,            0.024608,           0.0049295,                   0,                   0,                   0,                   0,                   0,          2.3842e-06,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.038365,            0.023665,            0.004822,                   0,                   0,                   0,                   0,                   0,          3.7551e-06,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.037429,            0.023497,           0.0050605,                   0,                   0,                   0,                   0,                   0,          1.1802e-05,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.036143,            0.023594,           0.0048441,                   0,                   0,                   0,                   0,                   0,          2.0981e-05,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,            0.037453,             0.02447,           0.0047629,                   0,                   0,                   0,                   0,                   0,          3.5942e-05,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.037864,            0.024862,           0.0049705,                   0,                   0,                   0,                   0,                   0,          8.7619e-06,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.036268,            0.023311,           0.0046581,                   0,                   0,                   0,                   0,                   0,          4.0174e-05,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.036616,            0.023628,           0.0046408,                   0,                   0,                   0,                   0,                   0,          3.8505e-05,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.036303,            0.023147,           0.0047477,                   0,                   0,                   0,                   0,                   0,           4.375e-05,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.036401,            0.025145,           0.0046714,                   0,                   0,                   0,                   0,                   0,          6.5565e-06,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.036363,            0.023003,           0.0046668,                   0,                   0,                   0,                   0,                   0,           1.204e-05,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.035978,            0.022827,           0.0049303,                   0,                   0,                   0,                   0,                   0,          9.1851e-05,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.036455,            0.023187,           0.0048712,                   0,                   0,                   0,                   0,                   0,          3.3617e-05,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.036214,            0.023015,           0.0046581,                   0,                   0,                   0,                   0,                   0,          3.1948e-05,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.035121,            0.021655,           0.0046935,                   0,                   0,                   0,                   0,                   0,          1.5497e-05,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.036465,            0.022447,           0.0046723,                   0,                   0,                   0,                   0,                   0,          1.3769e-05,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.034333,            0.023817,           0.0045057,                   0,                   0,                   0,                   0,                   0,          2.2948e-05,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.036092,             0.02328,           0.0045087,                   0,                   0,                   0,                   0,                   0,          6.4373e-06,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.035676,            0.022565,           0.0046284,                   0,                   0,                   0,                   0,                   0,          5.7578e-05,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.034764,            0.024022,           0.0045543,                   0,                   0,                   0,                   0,                   0,          3.7611e-05,                   0,           0.0083566,           0.0083566,           0.0083566
